3, 402, "Papai Noel Bebeu Skol e ficou Doidao, Comeu a Rena, Comeu o Anao, e vai Comer quem ta com o Celular na Mao e vai dar mais uma comidinha se der uma risadinha ! kkkkkk", "Papai Noel Bebeu Skol e ficou Doidao, Comeu a Rena, Comeu o Anao, e vai Comer quem ta com o Celular na Mao e vai dar mais uma comidinha se der uma risadinha ! kkkkkk...bjus", "Papai,Bebeu,ficou,Doidao,Comeu,Comeu"
6, 414, "Comprei um carro que dizem ser o carro mais barato do mundo: Um i 30", "Comprei um carro que dizem ser o carro mais barato do mundo
I um i 30", "Comprei,carro,carro,dizem,carro,carro,barato"
9, 415, "Vc mora em um lugar muito especial...
Sabe onde??


na sua casa,ue!!!
Pensou q era onde?
No meu coracão?
Ta bom admito!
vive nele também.", "Vou te confessar... presta muita atencao pq nao vou repetir eh sgredo....
Ñ consigo viver sem vc. Qndo estou sem vc, sinto muita falta...
Te amo muito...
Ñ sei o q faco se eu te perder ou se t roubarem d mim... Vc e muito importante pra mim...
Ñ sei o q seria d mim sem vc...
Meu... 


CELULAR!!!
Kkkkkkk...
Ñ se preocupe, amo vc tabem meu... 


CARREGADOR!!!
Kkkkkkkkk...:-D:-D
Ñao, agora e serio...
Vc e muito especial...

Meu... 


CARTAO D MEMORIA..
kkkkkkkkkk 
Falando serio eu te adoro Meus...


 CREDITOS
kkkkkkkk
Eu ja ia esquecendo d vc...
.
.
TE AMO. 


"MEU CHIP"
ha ha ha



VC tambem E muito especial 
", "muito,muito,muito,especial,muito,especial"
14, 111, "Que olhos lindos…
Que boca gostosa…
Que corpo sarado…
Que perfume bom…
Ta bom! Já falei demais de mim…
Como está vc???", "Que olhos lindos... Que boca gostosa... Que corpo sarado... Que perfume bom... Ta bom! Já falei demais de mim... Como está vc???", "olhos,lindos,gostosa,corpo,sarado"
16, 204, "Cientistas trabalharam durante anos para criar um ser ESPECIAL, capaz de cativar o mundo com apenas um sorriso.
A pesquisa foi suspensa…
Esse ser já existe: EU, claro!
Pensou que eu tava falando de quem???", "Cientistas trabalharam durante anos para criar um ser ESPECIAL, capaz de cativar o mundo com apenas um sorriso.
A pesquisa foi suspensa…
Esse ser já existe: EU, claro!
Pensou que eu tavafalando de quem???", "Cientistas,trabalharam,durante,criar,ESPECIAL,capaz"
32, 483, "Oração das Taradas: Sao Baltazar quero me casar. Sao Benedito com um rapaz bonito. Sai Aguiar q saiba trepar. Sao Pedro que trepe sem medo. Sao Adao que coloque ate os graos. Sao Gilmar que saiba chupar. Sao Edmar que chupe ate eu gozar. Sao Nicolau que seja grande o pau. Sao Dito juro que nao grito", "INFORME PUBLICITARIO:
O mundo hoje se encontra em protesto!!!
O povo clama por seus direitos…
-Na Rússia:
“Eu quero democracia”
-No Egito:
“Eu quero liberdade”
-No Japão:
“Eu quero espaço”
-No Iraque:
“Eu quero direito ao voto”
-Em Portugal:
“Eu quero emprego”
JÁ NO BRASIL:
“Eu quero tchu,eu quero tcha
Eu quero tchu,tcha,tchu,tchu
tchu,tcha
tchu tcha tchu tchu tcha…”
kkkkkkkkk…
", "quero,quero,quero,quero,quero,quero,quero,quero"
50, 483, ""A beleza é para ser cultivada; é por isso que quero semear você!"", "INFORME PUBLICITARIO:
O mundo hoje se encontra em protesto!!!
O povo clama por seus direitos…
-Na Rússia:
“Eu quero democracia”
-No Egito:
“Eu quero liberdade”
-No Japão:
“Eu quero espaço”
-No Iraque:
“Eu quero direito ao voto”
-Em Portugal:
“Eu quero emprego”
JÁ NO BRASIL:
“Eu quero tchu,eu quero tcha
Eu quero tchu,tcha,tchu,tchu
tchu,tcha
tchu tcha tchu tchu tcha…”
kkkkkkkkk…
", "quero,quero,quero,quero,quero,quero,quero,quero"
62, 113, "A verdadeira felicidade está nas pequenas coisas: um pequeno iate, um pequeno Rolex, uma pequena mansão, uma pequena fortuna…", "A verdadeira felicidade está nas pequenas coisas... um pequeno rolex, um pequeno iate, uma pequena mansão, uma pequena fortuna...", "verdadeira,felicidade,pequenas,coisas,pequeno,pequeno"
73, 213, "Dinheiro não traz felicidade, mas antes chorar num carro importado do que num ônibus lotado!", "Dinheiro não traz felicidade, mas antes chorar num carro importado do que num ônibus lotado!
                                                ", "Dinheiro,felicidade,antes,chorar,carro"
105, 483, "Faz muito tempo que eu quero falar, mas não tenho coragem. 
Perdi noites de sono pensando em como te dizer...
 Me dá 1 
...Real?", "INFORME PUBLICITARIO:
O mundo hoje se encontra em protesto!!!
O povo clama por seus direitos…
-Na Rússia:
“Eu quero democracia”
-No Egito:
“Eu quero liberdade”
-No Japão:
“Eu quero espaço”
-No Iraque:
“Eu quero direito ao voto”
-Em Portugal:
“Eu quero emprego”
JÁ NO BRASIL:
“Eu quero tchu,eu quero tcha
Eu quero tchu,tcha,tchu,tchu
tchu,tcha
tchu tcha tchu tchu tcha…”
kkkkkkkkk…
", "quero,quero,quero,quero,quero,quero,quero,quero"
